flight_number,origin_station_code,destination_station_code,record_locator,arrival_delay_minutes,passenger_class,number_of_legs,loyalty_program_level,generation,fleet_type_description,actual_flown_miles,food_satisfaction_score,feedback_ID
2102,AUX,IAX,GYXXD4,-5,Economy,2,non-elite,Silent,A320-200,141,2,F_742
3662,PVX,EWX,C8XXZS,-15,Economy,2,non-elite,Boomer,ERJ-175,160,3,F_743
625,BHX,IAX,OVXXKP,-8,Economy,2,non-elite,Boomer,B737-900,562,3,F_744
2038,EWX,ATX,IEXXFV,2,Economy,1,premier platinum,Gen X,B737-900,745,1,F_745
349,OGX,ORX,GLXXMQ,-7,Economy,1,non-elite,Boomer,B787-9,4184,3,F_746
1676,DEX,PHX,I0XX3H,3,Economy,1,premier platinum,Millennial,B737-800,1557,2,F_747
3697,ORX,BDX,DPXXQT,-18,Economy,1,non-elite,Gen X,ERJ-170,783,3,F_748
602,BOX,EWX,J3XXCJ,-26,Economy,1,premier 1k,Boomer,B737-800,200,1,F_749
185,MNX,GUX,E0XXMN,-17,Economy,1,non-elite,Gen X,B737-800,1597,3,F_750
2283,SAX,IAX,DNXXME,-9,Economy,1,premier platinum,Gen X,A320-200,2253,1,F_751
1137,BTX,DEX,EXXXW0,-4,Economy,1,non-elite,Millennial,B737-800,1639,2,F_752
1881,SXX,EWX,D1XX8C,-7,Economy,1,non-elite,Gen X,B737-700,1693,1,F_753
121,EWX,BCX,NYXX5M,13,Economy,1,non-elite,Boomer,B767-400,3848,2,F_754
1184,FLX,EWX,G0XX9R,9,Economy,1,non-elite,Gen Z,B737-800,1065,4,F_755
412,DEX,LGX,N4XX74,-19,Economy,1,non-elite,Boomer,B737-800,1619,4,F_756
23,DUX,EWX,L1XX80,-44,Economy,2,non-elite,Boomer,B767-400,3193,4,F_757
3692,STX,ORX,MFXXDZ,2,Economy,2,non-elite,Gen X,ERJ-170,258,1,F_758
1808,PBX,EWX,GKXXF7,-22,Economy,1,premier silver,Gen X,B737-MAX8,1024,3,F_759
379,DCX,IAX,HSXXHQ,11,Economy,2,non-elite,Millennial,B737-800,1208,4,F_760
1539,ORX,TPX,DRXXH0,-5,Economy,2,premier 1k,Gen X,B737-MAX9,1012,5,F_761
2189,DEX,FLX,J7XX5L,-1,Economy,1,non-elite,Boomer,B737-900,1703,3,F_762
1864,IAX,DFX,DQXXT2,-19,Economy,2,non-elite,Millennial,B737-800,224,4,F_763
4732,BZX,LAX,IVXXJZ,-13,Economy,1,premier gold,Gen X,ERJ-175,902,4,F_764
613,IAX,LOX,K5XX51,-4,Economy,2,non-elite,Millennial,B787-8,5442,4,F_765
1655,INX,IAX,HHXX1T,-17,Economy,1,non-elite,Gen X,B737-900,845,1,F_766
6095,IAX,MSX,JVXXXF,-14,Economy,1,premier silver,Gen X,ERJ-175,1034,5,F_767
1918,IAX,MEX,IXXXPR,11,Economy,1,non-elite,Boomer,A319-100,469,4,F_768
4778,GTX,DEX,JJXX97,-4,Economy,2,non-elite,Gen X,ERJ-175,624,2,F_769
1642,IAX,SFX,KYXXH2,-22,Economy,2,non-elite,Boomer,B777-300,2419,3,F_770
2352,SNX,SFX,NSXXVR,35,Economy,2,non-elite,Gen X,A319-100,372,4,F_771
184,GUX,MNX,FTXX9E,-13,Economy,3,premier silver,Gen X,B737-800,1597,2,F_772
3589,EWX,YQX,DZXXJ4,-1,Economy,2,non-elite,Gen X,ERJ-175,443,1,F_773
126,ATX,EWX,B5XXJE,-15,Economy,1,premier gold,Gen X,B787-10,4948,1,F_774
3515,PWX,EWX,FLXX0K,31,Economy,1,non-elite,Gen X,ERJ-175,284,5,F_775
253,HNX,IAX,GEXX70,-10,Economy,1,non-elite,Boomer,B777-200,3904,1,F_776
2037,SJX,EWX,EDXXZ5,1,Economy,1,non-elite,Gen X,B737-900,1608,3,F_777
749,ORX,SEX,BHXXRE,-19,Economy,1,non-elite,Gen X,B737-800,1721,4,F_778
2430,ORX,BOX,AKXXMR,-12,Economy,1,non-elite,Gen X,A319-100,1437,1,F_779
63,IAX,GRX,ISXXZN,34,Economy,2,non-elite,Gen X,B787-9,4901,3,F_780
1876,FLX,EWX,C3XX3S,25,Economy,1,premier silver,Boomer,A320-200,1065,5,F_781
1732,KOX,DEX,CFXXZJ,2,Economy,1,non-elite,Boomer,B757-200,3331,1,F_782
1696,MCX,IAX,B9XX77,-6,Economy,2,premier silver,Boomer,B737-900,853,5,F_783
2611,IAX,IAX,D6XX3C,3,Economy,2,non-elite,Boomer,B737-800,1190,4,F_784
972,FCX,ORX,NMXXK8,-29,Economy,2,non-elite,Boomer,B787-8,4823,5,F_785
71,EWX,AMX,ENXX6E,6,Economy,2,non-elite,Millennial,B777-200,3657,2,F_786
85,EWX,TLX,DFXX5N,-17,Economy,1,non-elite,Millennial,B787-10,5692,5,F_787
5565,MEX,DEX,LNXXVL,18,Economy,1,non-elite,Boomer,ERJ-175,872,5,F_788
212,ATX,SFX,J8XXMN,-6,Economy,1,non-elite,Gen X,A319-100,2139,1,F_789
364,EWX,HNX,LKXXZN,-17,Economy,2,non-elite,Boomer,B767-400,4962,2,F_790
4705,DCX,ORX,E6XX4R,-28,Economy,2,premier silver,Boomer,ERJ-175,612,3,F_791
2267,LAX,EWX,I7XX89,-11,Economy,1,premier silver,Gen X,B737-900,2227,1,F_792
1687,IAX,SNX,BFXXK5,-14,Economy,1,non-elite,Gen Z,B737-800,1347,3,F_793
3676,SDX,EWX,F1XX82,-15,Economy,2,non-elite,Boomer,ERJ-175,642,3,F_794
1955,SFX,DCX,GXXXMX,-14,Economy,1,non-elite,Gen X,B737-800,2442,4,F_795
6139,IAX,SAX,PSXX7Z,-29,Economy,2,premier silver,Gen X,ERJ-175,1362,1,F_796
1426,MKX,DEX,EWXX0J,-18,Economy,2,non-elite,Boomer,B737-800,895,3,F_797
3489,ORX,DCX,E5XX33,-13,Economy,2,non-elite,Boomer,ERJ-170,612,3,F_798
385,DEX,HNX,K4XX1M,-7,Economy,1,non-elite,Gen X,B777-200,3365,1,F_799
4404,SAX,ORX,MPXX9M,-34,Economy,1,non-elite,Boomer,CRJ-550,773,5,F_800
1474,SDX,EWX,LVXXVV,12,Economy,1,non-elite,Millennial,B737-900,1557,1,F_801
371,EWX,LAX,O2XX64,38,Economy,1,premier platinum,Boomer,B737-900,2227,4,F_802
1987,SBX,SFX,DVXXGM,-1,Economy,1,premier gold,Boomer,A320-200,262,1,F_803
24,EWX,DUX,LDXXJ5,175,Economy,1,non-elite,Millennial,B767-300,3193,2,F_804
1203,EUX,SFX,DVXX0R,-14,Economy,2,non-elite,Boomer,A319-100,451,4,F_805
1250,EWX,PHX,D7XX60,-32,Economy,1,non-elite,Boomer,B737-900,2133,1,F_806
360,ORX,MEX,CLXX4J,-10,Economy,2,premier gold,Boomer,A319-100,1686,5,F_807
588,PSX,DEX,L9XXZG,-20,Economy,2,non-elite,Boomer,B737-800,776,4,F_808
1988,LAX,EWX,IFXXX4,11,Economy,1,non-elite,Gen X,B737-900,2227,1,F_809
42,FCX,EWX,G5XX56,-11,Economy,1,non-elite,Boomer,B777-300,4292,5,F_810
3672,JAX,ORX,A3XXLT,26,Economy,1,non-elite,Boomer,ERJ-170,865,1,F_811
218,PDX,EWX,E4XX81,-30,Economy,1,premier silver,Boomer,B737-MAX8,2576,4,F_812
4758,DTX,DEX,J5XX7M,-5,Economy,2,premier gold,Boomer,ERJ-175,1123,2,F_813
188,JNX,EWX,F8XXVT,-36,Economy,1,premier gold,Boomer,B787-9,7989,1,F_814
1496,SJX,IAX,GJXXNN,-8,Economy,2,non-elite,Millennial,B737-900,2007,4,F_815
984,ATX,IAX,EXXXE9,-13,Economy,2,non-elite,Boomer,B777-200,5168,4,F_816
1516,SNX,EWX,JZXXWL,-5,Economy,1,non-elite,Millennial,B737-700,2433,2,F_817
361,DFX,EWX,G8XXV9,11,Economy,1,non-elite,Boomer,B737-800,1372,5,F_818
953,MUX,ORX,CZXXL2,23,Economy,1,premier platinum,Gen X,B787-10,4530,2,F_819
246,DEX,SFX,NJXX92,-14,Economy,1,non-elite,Gen X,B777-200,967,2,F_820
978,SNX,EWX,N4XX3D,-35,Economy,1,non-elite,Boomer,B757-200,3096,5,F_821
1944,ORX,RAX,DDXXTK,-15,Economy,2,non-elite,Boomer,A319-100,780,2,F_822
1642,IAX,SFX,A7XXKF,-18,Economy,1,non-elite,Boomer,B777-300,2419,4,F_823
2017,SFX,ORX,G0XXKP,-9,Economy,1,non-elite,Millennial,B787-8,1846,5,F_824
1869,YVX,ORX,CWXX6X,-8,Economy,1,non-elite,Gen X,B737-900,1764,2,F_825
2337,SNX,DEX,HCXXM4,-12,Economy,2,premier gold,Boomer,A320-200,846,2,F_826
1999,ORX,ORX,F0XX1K,-3,Economy,1,non-elite,Millennial,A319-100,717,5,F_827
977,EWX,SNX,C6XXK5,3,Economy,1,non-elite,Gen X,B757-200,3096,2,F_828
946,FRX,ORX,H4XXMP,0,Economy,1,premier gold,Gen X,B787-10,4344,4,F_829
1778,EWX,IAX,EYXX29,-25,Economy,1,non-elite,Gen X,B737-800,1400,5,F_830
2125,LAX,EWX,MRXXN4,-8,Economy,1,non-elite,Millennial,B737-MAX8,2227,5,F_831
2033,MYX,EWX,HNXXKQ,97,Economy,1,non-elite,Boomer,A320-200,550,2,F_832
1652,FLX,DEX,F2XXSX,-22,Economy,1,non-elite,Boomer,B737-800,1703,4,F_833
1961,ORX,ROX,NQXXJ9,-17,Economy,1,non-elite,Millennial,A320-200,528,1,F_834
2036,IAX,SAX,OJXX2X,-13,Economy,2,non-elite,Boomer,B737-900,191,1,F_835
4790,IAX,SAX,C3XXLF,-17,Economy,2,non-elite,Boomer,ERJ-175,191,1,F_836
38,EDX,EWX,N3XXE6,0,Economy,1,non-elite,Boomer,B757-200,3269,3,F_837
943,IAX,LIX,JWXXEN,-18,Economy,1,non-elite,Boomer,B757-200,3592,3,F_838
820,IAX,EZX,NBXXRM,-3,Economy,2,non-elite,Millennial,B777-200,5062,3,F_839
1522,IAX,CLX,AWXXQE,-1,Economy,2,premier silver,Boomer,B737-700,288,3,F_840
2084,UIX,IAX,DKXXLW,-4,Economy,2,non-elite,Millennial,B737-800,2350,1,F_841
2633,EWX,SFX,I9XXNK,-46,Economy,1,non-elite,Gen X,B777-300,2565,4,F_842
1914,DFX,IAX,H7XXM9,-32,Economy,1,non-elite,Boomer,B737-900,224,1,F_843
161,MUX,IAX,C5XX71,14,Economy,1,non-elite,Boomer,B767-300,5417,4,F_844
2085,ORX,SFX,AEXX8R,71,Economy,1,premier silver,Boomer,B737-900,1846,1,F_845
404,DEX,LAX,JLXXXW,-9,Economy,1,premier silver,Gen X,B757-300,862,1,F_846
940,LHX,SFX,ACXXVQ,0,Economy,1,non-elite,Silent,B787-9,5368,1,F_847
65,EWX,LIX,EZXXXL,-19,Economy,1,non-elite,Boomer,B787-10,3385,3,F_848
931,SFX,LHX,L0XX7L,-10,Economy,1,non-elite,Millennial,B787-9,5368,1,F_849
632,IAX,BWX,LLXXPM,-7,Economy,1,non-elite,Gen X,B737-900,1235,3,F_850
130,IAX,GIX,BPXXJY,-2,Economy,1,non-elite,Boomer,B767-300,5016,2,F_851
392,PDX,IAX,EVXXQV,-10,Economy,1,non-elite,Boomer,B737-900,2327,1,F_852
916,IAX,CDX,AQXXJK,19,Economy,1,non-elite,Millennial,B777-200,3861,5,F_853
1724,SFX,KOX,LYXXT5,-19,Economy,1,non-elite,Millennial,B737-900,2370,3,F_854
886,FCX,IAX,IDXXT4,-25,Economy,1,non-elite,Boomer,B787-8,4505,4,F_855
661,DSX,ORX,HJXXSF,-6,Economy,1,non-elite,Boomer,A320-200,299,3,F_856
2308,DEX,LIX,DTXXEJ,7,Economy,2,non-elite,Gen X,B757-200,3414,4,F_857
2141,MIX,IAX,O8XXZ4,31,Economy,1,premier gold,Boomer,B737-900,964,2,F_858
1666,SFX,BOX,OYXXRD,-3,Economy,1,non-elite,Boomer,B737-MAX9,2704,2,F_859
1735,LAX,IAX,CJXXHN,-1,Economy,1,non-elite,Gen X,B757-300,1379,2,F_860
475,MEX,ORX,HCXXLN,-2,Economy,1,non-elite,Gen X,A320-200,1686,2,F_861
621,STX,EWX,H3XXSY,-26,Economy,1,non-elite,Millennial,B737-900,1477,1,F_862
1629,MBX,EWX,F8XXP7,-23,Economy,1,non-elite,Millennial,B737-900,1545,3,F_863
215,SFX,DEX,M6XXQS,-11,Economy,1,non-elite,Gen X,B737-900,967,3,F_864
881,IAX,LHX,JHXX2H,10,Economy,2,non-elite,Boomer,B777-200,4834,1,F_865
591,BWX,ORX,DMXXSX,71,Economy,1,non-elite,Millennial,A320-200,621,1,F_866
201,GUX,HNX,AJXXE7,-10,Economy,1,premier platinum,Gen X,B777-300,3801,1,F_867
2189,DEX,FLX,NSXXZV,-17,Economy,1,premier platinum,Gen X,B737-900,1703,5,F_868
46,ZRX,SFX,NTXX7S,10,Economy,2,non-elite,Gen X,B777-200,5841,4,F_869
2360,MCX,EWX,J0XXVQ,107,Economy,1,non-elite,Boomer,B737-MAX8,938,3,F_870
1521,MCX,DEX,GKXXEV,-17,Economy,1,NBK,NBK,B737-900,1545,4,F_871
692,ORX,DEX,EDXXB9,-13,Economy,1,premier 1k,Gen X,B757-300,888,1,F_872
74,TLX,IAX,GKXXZE,463,Economy,2,non-elite,Boomer,B787-8,5904,4,F_873
567,CHX,ORX,NLXX19,-28,Economy,1,non-elite,Boomer,A319-100,760,5,F_874
1514,SFX,SNX,GEXX3P,7,Economy,2,non-elite,Boomer,B737-800,372,3,F_875
2060,SFX,EWX,FFXXZW,-38,Economy,2,premier 1k,Boomer,B777-200,2565,5,F_876
2269,IAX,MCX,MMXXVC,-5,Economy,1,premier platinum,Boomer,B737-MAX9,758,5,F_877
2378,DEX,AUX,BFXXZP,3,Economy,1,premier 1k,Gen X,A320-200,775,4,F_878
819,EZX,IAX,BBXX77,-14,Economy,2,non-elite,Millennial,B777-200,5062,1,F_879
1510,SFX,HNX,DWXXJ1,38,Economy,2,premier silver,Boomer,B777-200,2399,1,F_880
1729,LAX,SFX,MYXXLW,14,Economy,1,non-elite,Millennial,A320-200,414,2,F_881
223,IAX,SFX,K0XXDC,8,Economy,1,premier silver,Boomer,B737-900,2419,3,F_882
2627,PIX,IAX,C6XX27,13,Economy,1,non-elite,Gen X,B737-900,1117,5,F_883
2353,STX,DEX,ICXXY2,-2,Economy,1,premier silver,Silent,A320-200,770,2,F_884
364,EWX,HNX,FXXXC4,-15,Economy,1,premier platinum,Boomer,B767-400,4962,1,F_885
1591,EWX,IAX,PJXXD6,-20,Economy,1,non-elite,Boomer,B737-MAX8,1400,1,F_886
1881,SXX,EWX,NHXXQ2,-7,Economy,1,non-elite,Boomer,B737-700,1693,1,F_887
915,CDX,IAX,NFXXJQ,16,Economy,2,non-elite,Boomer,B777-200,3861,2,F_888
819,EZX,IAX,O4XXRC,-24,Economy,2,non-elite,Gen X,B777-200,5062,1,F_889
1926,SFX,LAX,AVXX4D,-3,Economy,1,premier 1k,Boomer,B737-900,414,4,F_890
846,ORX,GRX,DWXXY9,8,Economy,2,premier silver,Millennial,B787-9,5222,5,F_891
38,EDX,EWX,HWXXC9,12,Economy,1,non-elite,Millennial,B757-200,3269,1,F_892
86,TLX,EWX,CGXX13,33,Economy,1,non-elite,Gen X,B787-10,5692,3,F_893
1642,IAX,SFX,DFXX81,-30,Economy,1,premier platinum,Gen X,B777-300,2419,4,F_894
1897,DTX,DEX,LMXXDJ,-28,Economy,2,non-elite,Silent,A319-100,1123,5,F_895
965,EWX,NAX,F7XX51,-14,Economy,1,non-elite,Gen X,B767-300,4416,3,F_896
951,IAX,BRX,G8XXE1,-15,Economy,2,non-elite,Gen X,B777-300,3892,2,F_897
388,LAX,IAX,JWXXXF,-22,Economy,1,non-elite,Gen X,B737-900,1379,4,F_898
3695,ORX,DCX,DKXXFL,17,Economy,1,non-elite,Boomer,ERJ-170,612,1,F_899
577,MIX,DEX,BHXXJ7,-14,Economy,2,premier gold,Boomer,A320-200,1709,3,F_900
1262,EWX,IAX,M5XXFB,-4,Economy,2,premier 1k,Gen X,B737-800,1400,3,F_901
47,IAX,FRX,A7XXYD,7,Economy,1,non-elite,Boomer,B777-200,5233,2,F_902
47,IAX,FRX,MMXXRQ,62,Economy,1,premier gold,Gen X,B777-200,5233,1,F_903
1221,BUX,DEX,H1XXFG,-1,Economy,2,non-elite,Boomer,A319-100,850,3,F_904
1075,LAX,DEX,HYXXR4,-4,Economy,2,non-elite,Gen X,A320-200,629,5,F_905
1163,BQX,EWX,BDXX92,28,Economy,1,non-elite,Boomer,B737-900,1585,2,F_906
1869,YVX,ORX,DMXXE9,12,Economy,2,non-elite,Boomer,B737-900,1764,2,F_907
463,IAX,PDX,PSXXR7,-16,Economy,2,non-elite,Boomer,B737-900,2327,3,F_908
966,NAX,EWX,E2XXPH,-1,Economy,2,non-elite,Silent,B767-300,4416,2,F_909
954,ORX,MUX,DRXXE8,20,Economy,2,non-elite,Boomer,B787-10,4530,5,F_910
1040,AUX,EWX,FRXXPK,-2,Economy,1,non-elite,Boomer,B737-900,1958,1,F_911
4395,RIX,IAX,FVXX0D,-11,Economy,2,non-elite,Boomer,CRJ-550,99,3,F_912
66,LIX,EWX,I5XX3H,25,Economy,1,non-elite,Boomer,B787-10,3385,4,F_913
1968,DEX,MSX,ASXXSN,37,Economy,1,premier silver,Gen X,B737-800,826,3,F_914
943,IAX,LIX,NNXXHG,215,Economy,1,premier gold,Boomer,B757-200,3592,2,F_915
2109,EWX,SAX,EZXX3M,-15,Economy,1,non-elite,Boomer,B737-900,2425,4,F_916
108,MUX,IAX,IMXXS8,-28,Economy,1,premier silver,Boomer,B777-200,4263,5,F_917
1257,RDX,DEX,DTXXL3,-6,Economy,1,non-elite,Gen X,B737-800,1436,1,F_918
397,HNX,SFX,GGXXST,-10,Economy,2,non-elite,Millennial,B777-300,2399,2,F_919
1463,SEX,DEX,JLXXF1,-2,Economy,2,premier silver,Boomer,B737-900,1024,3,F_920
5474,SNX,SFX,EXXXEL,-24,Economy,2,premier 1k,Boomer,CRJ-700,372,5,F_921
1152,DFX,ORX,I0XXQY,0,Economy,1,non-elite,Millennial,B737-800,802,5,F_922
355,RSX,ORX,D1XXDH,47,Economy,1,premier silver,Boomer,B737-MAX9,1120,4,F_923
392,PDX,IAX,HFXXVD,-26,Economy,1,non-elite,Boomer,B737-900,2327,3,F_924
84,DEX,EWX,N6XXJQ,-35,Economy,1,non-elite,Boomer,B787-9,7323,2,F_925
2272,ANX,ORX,K0XXC6,-10,Economy,1,premier 1k,Gen X,B737-MAX9,2846,2,F_926
1050,CUX,EWX,PWXXFD,-4,Economy,1,non-elite,Gen X,B737-900,1547,1,F_927
1082,EWX,MIX,CNXXE3,-19,Economy,1,non-elite,Gen X,A320-200,1086,3,F_928
4393,LGX,IAX,GXXX1Y,-4,Economy,1,non-elite,Gen Z,CRJ-550,229,3,F_929
58,EWX,CDX,IEXXMV,3,Economy,1,premier 1k,Gen X,B777-300,3649,1,F_930
57,CDX,EWX,JMXXGN,-12,Economy,1,non-elite,Gen X,B777-300,3649,4,F_931
149,GRX,EWX,MXXX2G,-7,Economy,1,non-elite,Millennial,B777-200,4758,1,F_932
787,DEX,SJX,OQXX73,-14,Economy,2,premier 1k,Millennial,B737-900,948,3,F_933
2300,LAX,IAX,O6XXLT,2,Economy,2,non-elite,Boomer,B737-700,1222,2,F_934
6332,IAX,DSX,BCXXQC,-23,Economy,1,non-elite,Boomer,ERJ-175,802,3,F_935
972,FCX,ORX,OQXXSP,-28,Economy,2,non-elite,Boomer,B787-8,4823,4,F_936
1828,MCX,EWX,PWXXJN,-4,Economy,1,non-elite,Boomer,B737-800,938,5,F_937
161,MUX,IAX,J1XXHQ,145,Economy,1,non-elite,Gen X,B767-300,5417,1,F_938
516,JFX,LAX,NVXXQ4,-18,Economy,1,non-elite,Millennial,B757-200,2475,1,F_939
2391,LAX,IAX,FEXXV3,-5,Economy,1,non-elite,Boomer,B737-900,1379,4,F_940
3,SIX,SFX,C7XX8C,42,Economy,1,non-elite,Millennial,B787-9,8440,2,F_941
2165,ORX,EWX,APXXFT,8,Economy,1,non-elite,Millennial,B737-900,719,5,F_942
170,VCX,EWX,PPXX25,-15,Economy,1,non-elite,Boomer,B767-300,4169,2,F_943
2122,IAX,SNX,OSXXVC,-15,Economy,2,premier silver,Gen X,B737-800,1347,2,F_944
54,ZRX,IAX,LHXXV4,-7,Economy,2,non-elite,Boomer,B767-300,4158,4,F_945
1603,MCX,DEX,PSXX66,-3,Economy,1,premier silver,Gen X,B737-900,1545,4,F_946
220,ORX,HNX,B3XXXH,-24,Economy,2,non-elite,Millennial,B787-10,4244,1,F_947
2462,ORX,DEX,I2XXX4,-16,Economy,1,non-elite,Gen X,B737-800,1552,5,F_948
4749,HDX,DEX,LRXXD6,15,Economy,2,non-elite,Boomer,ERJ-175,142,2,F_949
2170,SFX,ONX,DZXXK6,-5,Economy,1,non-elite,Millennial,A319-100,363,4,F_950
2028,MSX,EWX,AJXXR5,90,Economy,2,non-elite,Gen X,A319-100,1008,2,F_951
1009,BOX,SFX,LVXXZF,-32,Economy,1,non-elite,Boomer,B737-MAX9,2704,1,F_952
594,DEX,IAX,MWXXRS,31,Economy,2,non-elite,Boomer,A320-200,861,4,F_953
479,DEX,ORX,O0XXXN,10,Economy,2,non-elite,Boomer,B737-900,888,3,F_954
1251,LAX,SFX,P0XXFF,-12,Economy,2,non-elite,Boomer,B757-200,337,4,F_955
6029,IAX,LGX,CHXX17,1,Economy,1,non-elite,Boomer,ERJ-175,1416,3,F_956
317,DUX,EWX,FDXXN0,-21,Economy,2,non-elite,Boomer,B757-200,3193,2,F_957
127,IAX,DUX,FZXXTW,-2,Economy,2,premier silver,Gen X,B767-400,3405,1,F_958
1027,DEX,AUX,JSXXSM,-4,Economy,1,premier silver,Gen X,A320-200,775,1,F_959
1477,DEX,EUX,MXXXXP,-3,Economy,2,non-elite,Gen X,A319-100,997,5,F_960
2201,EWX,SAX,PTXXDL,6,Economy,1,non-elite,Boomer,B737-800,2425,2,F_961
716,IAX,ORX,H2XX3G,-8,Economy,1,non-elite,Gen X,B737-900,925,5,F_962
2267,LAX,EWX,NYXX7V,-16,Economy,1,non-elite,Millennial,B737-900,2227,1,F_963
1686,LIX,DEX,FFXX97,-11,Economy,1,premier gold,Boomer,B757-200,3414,2,F_964
2307,ORX,BOX,IJXXFS,-6,Economy,2,premier silver,Boomer,B737-900,867,3,F_965
701,ORX,DEX,M7XX0K,-3,Economy,2,non-elite,Boomer,B737-900,888,5,F_966
3515,PWX,EWX,EQXXMK,-18,Economy,1,non-elite,Silent,ERJ-175,284,2,F_967
1991,LAX,EWX,CBXXFQ,10,Economy,2,non-elite,Gen X,B777-200,2454,5,F_968
2395,BOX,EWX,DDXXRX,-10,Economy,2,non-elite,Boomer,A320-200,200,1,F_969
4757,SFX,SNX,ONXXLL,0,Economy,1,non-elite,Boomer,ERJ-175,372,4,F_970
974,BRX,ORX,BKXXRG,10,Economy,1,non-elite,Boomer,B787-10,4160,4,F_971
1561,SJX,EWX,D3XX35,3,Economy,1,premier silver,Millennial,B737-800,2201,2,F_972
253,HNX,IAX,FXXXNQ,4,Economy,2,non-elite,Boomer,B777-200,3904,2,F_973
2336,LAX,EWX,PNXXFB,-17,Economy,1,non-elite,Millennial,B757-200,2454,5,F_974
27,LHX,DEX,CFXXQB,-21,Economy,1,non-elite,Gen X,B787-9,4671,1,F_975
2234,SLX,IAX,E5XXRT,-12,Economy,2,non-elite,Gen X,A319-100,1195,3,F_976
38,EDX,EWX,GXXXXJ,12,Economy,1,non-elite,Boomer,B757-200,3269,1,F_977
3586,EWX,STX,F9XX9Q,-14,Economy,1,non-elite,Gen X,ERJ-175,872,2,F_978
18,LHX,EWX,A8XX3R,-15,Economy,1,premier gold,Millennial,B767-300,3466,1,F_979
2154,DEX,SNX,O1XX5S,-12,Economy,1,non-elite,Gen X,A320-200,846,2,F_980
914,KEX,ORX,G3XXTX,-29,Economy,1,non-elite,Boomer,B757-200,2944,4,F_981
403,EWX,BOX,M2XXNP,85,Economy,1,non-elite,Gen Z,B737-800,200,1,F_982
1251,LAX,SFX,CJXXTH,33,Economy,1,premier gold,Boomer,B757-200,337,1,F_983
2673,TPX,IAX,NTXXBY,321,Economy,1,premier 1k,Boomer,A319-100,787,1,F_984
1429,SFX,EWX,HWXX2C,-4,Economy,1,premier 1k,Millennial,B777-300,2565,4,F_985
1682,SFX,CMX,IRXXRC,-13,Economy,1,non-elite,Gen Z,B737-800,2121,3,F_986
991,SFX,CDX,B8XXDL,3,Economy,1,premier gold,Boomer,B777-200,5583,2,F_987
2104,PDX,ORX,CHXXWN,-14,Economy,1,non-elite,Boomer,A319-100,1739,3,F_988
950,LHX,SFX,H6XX9K,-32,Economy,1,non-elite,Boomer,B777-200,5368,3,F_989
1206,KOX,LAX,CMXXX6,1,Economy,1,non-elite,Gen X,B737-900,2505,1,F_990
527,AMX,IAX,FMXXYP,-12,Economy,2,non-elite,Gen X,B787-8,5965,2,F_991
3515,PWX,EWX,P4XX37,-18,Economy,1,premier silver,Boomer,ERJ-175,284,3,F_992
576,EWX,MSX,I2XXEB,-15,Economy,1,non-elite,Gen X,B737-800,1008,5,F_993
317,DUX,EWX,HTXXPD,15,Economy,1,non-elite,Boomer,B757-200,3193,4,F_994
2345,IAX,CLX,F2XXZY,-13,Economy,1,non-elite,Boomer,B737-700,1091,1,F_995
1561,SJX,EWX,DLXXMK,11,Economy,2,premier platinum,Gen X,B737-800,2201,1,F_996
3463,ORX,CVX,AWXXX8,-6,Economy,1,non-elite,Gen X,ERJ-170,264,3,F_997
128,DUX,IAX,P8XXLS,155,Economy,1,non-elite,Boomer,B767-400,3405,5,F_998
1439,IAX,SJX,EQXXJX,9,Economy,1,premier 1k,Millennial,B737-800,1006,2,F_999
485,DEX,LAX,GSXX0L,15,Economy,1,non-elite,Silent,A320-200,629,2,F_1000
5339,ORX,LGX,NEXX8D,-12,Economy,1,non-elite,Boomer,ERJ-175,733,5,F_1001
407,DEX,LGX,CRXXEE,55,Economy,2,non-elite,Gen X,B737-800,1619,2,F_1002
6363,DTX,IAX,GDXXSR,15,Economy,1,premier 1k,Gen X,ERJ-175,383,1,F_1003
5265,DTX,DEX,MBXX3C,-9,Economy,1,premier silver,Silent,ERJ-175,1123,2,F_1004
405,DEX,IAX,IEXXZ7,-16,Economy,2,premier silver,Gen X,B777-200,861,3,F_1005
1260,ORX,LGX,JJXXK5,-16,Economy,1,non-elite,Gen X,B737-700,733,4,F_1006
1868,CZX,IAX,LMXXBF,-21,Economy,2,non-elite,Gen X,B737-800,837,2,F_1007
1589,FLX,ORX,FYXXL6,3,Economy,1,non-elite,Boomer,B737-MAX9,1182,3,F_1008
592,SEX,EWX,GYXXY1,4,Economy,1,non-elite,Boomer,B737-900,2401,2,F_1009
58,EWX,CDX,CVXX99,35,Economy,1,premier silver,Millennial,B777-300,3649,2,F_1010
1757,YVX,LAX,N1XXMJ,-10,Economy,1,non-elite,Gen X,B737-900,1080,1,F_1011
1726,SFX,OGX,ONXX9W,12,Economy,1,premier silver,Millennial,B777-200,2338,3,F_1012
2475,ORX,DEX,NNXXXF,-9,Economy,1,premier platinum,Boomer,B777-200,888,2,F_1013
970,AMX,SFX,F6XXP3,18,Economy,1,non-elite,Boomer,B787-9,5473,2,F_1014
235,HNX,SFX,N5XX9N,-25,Economy,1,non-elite,Gen X,B737-MAX9,2399,5,F_1015
2171,ORX,IAX,HYXX8M,17,Economy,1,non-elite,Millennial,B737-800,589,1,F_1016
